time,open,high,low,close,MA №1,MA №2,MA №3,MA №4,Volume,Volume MA,Plot,Shapes,RSI,MF
1502928000,4261.48,4485.39,4200.74,4285.08,NaN,NaN,NaN,NaN,795.150377,NaN,NaN,0,NaN,NaN
1503014400,4285.08,4371.52,3938.77,4108.37,NaN,NaN,NaN,NaN,1199.888264,NaN,NaN,0,NaN,NaN
1503100800,4108.37,4184.69,3850,4139.98,NaN,NaN,NaN,NaN,381.309763,NaN,NaN,0,NaN,NaN
1503187200,4120.98,4211.08,4032.62,4086.29,NaN,NaN,NaN,NaN,467.083022,NaN,NaN,0,NaN,NaN
1503273600,4069.13,4119.62,3911.79,4016,NaN,NaN,NaN,NaN,691.74306,NaN,NaN,0,NaN,NaN
1503360000,4016,4104.82,3400,4040,NaN,NaN,NaN,NaN,966.684858,NaN,NaN,0,NaN,NaN
1503446400,4040,4265.8,4013.89,4114.01,NaN,NaN,NaN,NaN,1001.136565,NaN,NaN,0,NaN,NaN
1503532800,4147,4371.68,4085.01,4316.01,NaN,NaN,NaN,NaN,787.418753,NaN,NaN,0,NaN,NaN
1503619200,4316.01,4453.91,4247.48,4280.68,4154.046666666666,NaN,NaN,NaN,573.61274,NaN,NaN,0,NaN,NaN
1503705600,4280.71,4367,4212.41,4337.44,4190.725333333333,NaN,NaN,NaN,228.108068,NaN,NaN,0,NaN,NaN
1503792000,4332.51,4400,4285.54,4310.01,4214.582266666666,NaN,NaN,NaN,350.692585,NaN,NaN,0,NaN,NaN
1503878400,4310.01,4399.82,4124.54,4386.69,4249.003813333333,NaN,NaN,NaN,603.841616,NaN,NaN,0,NaN,NaN
1503964800,4353.65,4625.85,4313.55,4587.48,4316.699050666666,NaN,NaN,NaN,603.545028,NaN,NaN,0,NaN,NaN
1504051200,4564.52,4647.51,4416.01,4555.14,4364.387240533333,NaN,NaN,NaN,808.468771,NaN,NaN,0,NaN,NaN
1504137600,4555.14,4745.42,4555.14,4724.89,4436.487792426667,NaN,NaN,NaN,556.956802,NaN,NaN,0,67.85827398305986,NaN
1504224000,4689.89,4885.55,4654.88,4834.91,4516.172233941334,NaN,NaN,NaN,560.666366,NaN,NaN,0,70.6794655907821,NaN
1504310400,4796.16,4939.19,4286.87,4472.14,4507.365787153067,NaN,NaN,NaN,929.148595,NaN,NaN,0,53.884720079742976,NaN
1504396800,4508.5,4714.76,4298.33,4509.08,4507.708629722453,NaN,NaN,NaN,691.216198,NaN,NaN,0,55.05584599074014,NaN
1504483200,4505,4527.49,3972.51,4100.11,4426.188903777963,NaN,NaN,NaN,1394.644614,NaN,NaN,0,42.26003453900124,NaN
1504569600,4106.97,4484.99,3603,4366.47,4414.2451230223705,NaN,NaN,NaN,1228.938157,741.0127101,NaN,0,50.35319153107059,0.12121789871694073
1504656000,4366.49,4662.87,4335.26,4619.77,4455.350098417896,NaN,NaN,NaN,807.363726,741.62337755,NaN,0,56.58522612592333,0.18306909281626055
1504742400,4619.77,4788.59,4438.19,4691.61,4502.602078734317,NaN,NaN,NaN,500.429975,706.6504631,NaN,0,58.18829511861674,0.22629119325480918
